epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,12450.1,0.5148,1.18239,0.3488,0.85034,0.42981,0.16029,0.18929,0.09286,0.44126,0.16268,0.18986,0.06525,2.4203,4.01214,3.30305,1.95509,0.0002872,0.0002872,0.0002872
110,12538.9,0.52323,1.16681,0.3487,0.84687,0.48013,0.18421,0.22013,0.10594,0.46766,0.17943,0.21729,0.07783,2.57354,4.18708,3.21977,1.95991,0.0002806,0.0002806,0.0002806
111,12675,0.5215,1.17552,0.34877,0.85021,0.43524,0.1866,0.22625,0.11287,0.42868,0.1813,0.22004,0.08383,2.41457,3.92995,3.11212,1.84299,0.000274,0.000274,0.000274
112,12791.6,0.53687,1.17958,0.35354,0.85639,0.47939,0.17943,0.21947,0.10616,0.49944,0.18182,0.22117,0.07993,2.45964,4.04111,3.34062,1.85379,0.0002674,0.0002674,0.0002674
113,12901.4,0.52999,1.19975,0.353,0.85916,0.50011,0.16507,0.21246,0.10834,0.50048,0.16029,0.2033,0.07713,2.37311,4.0759,3.40504,1.83276,0.0002608,0.0002608,0.0002608
114,13014.5,0.52767,1.20601,0.35323,0.8568,0.45883,0.17241,0.21129,0.09742,0.44573,0.16268,0.20067,0.07423,2.46162,3.91515,3.39933,1.92735,0.0002542,0.0002542,0.0002542
115,13117.9,0.51223,1.17796,0.34448,0.8481,0.46579,0.16268,0.20154,0.09253,0.47497,0.16507,0.20008,0.06788,2.48778,4.1173,3.17933,1.88018,0.0002476,0.0002476,0.0002476
116,13232.5,0.53581,1.20479,0.35913,0.85979,0.39103,0.17464,0.18913,0.08951,0.38412,0.1701,0.18267,0.06866,2.38286,4.02884,3.29308,1.87963,0.000241,0.000241,0.000241
117,13343.4,0.52798,1.19202,0.35012,0.85891,0.4229,0.18583,0.20143,0.09439,0.43838,0.18182,0.18905,0.07329,2.3837,4.06259,3.15924,1.87843,0.0002344,0.0002344,0.0002344
118,13458.2,0.50491,1.15254,0.33947,0.84857,0.44919,0.16268,0.21485,0.1001,0.44499,0.15789,0.20385,0.07658,2.464,3.90922,3.37085,1.86336,0.0002278,0.0002278,0.0002278
